City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,port saint john's,-31.6229,29.5448,24.01,52,36,3.51,ZA,1709713705
266,porto novo,6.4965,2.6036,28.9,72,100,3.41,BJ,1709713705
267,ketchikan,55.3422,-131.6461,-2.01,68,40,2.06,US,1709713705
268,kharan,28.5833,65.4167,17.59,54,78,5.75,PK,1709713705
269,omdurman,15.6445,32.4777,30.53,9,30,8.47,SD,1709713705
270,savalou,7.9281,1.9756,29.15,63,100,2.33,BJ,1709713705
271,moreira sales,-24.0622,-53.0069,20.79,91,68,1.57,BR,1709713706
272,homer,59.6425,-151.5483,-1.06,76,100,1.54,US,1709713670
273,kavaratti,10.5669,72.642,27.97,68,81,5.68,IN,1709713706
274,sangin,32.0728,64.8359,6.12,88,100,5.0,AF,1709713706
275,kuala belait,4.5833,114.1833,31.09,71,51,4.14,BN,1709713706
276,tuszyn,51.6095,19.5301,4.98,94,100,2.06,PL,1709713706
277,dryden,49.7833,-92.7503,-14.84,72,20,3.09,CA,1709713706
278,nuuk,64.1835,-51.7216,-8.66,73,100,4.63,GL,1709713706
279,darhan,49.4867,105.9228,-7.55,83,56,0.35,MN,1709713706
280,mananjary,-21.2167,48.3333,29.2,75,100,4.43,MG,1709713706
281,biala podlaska,52.0324,23.1165,2.65,84,100,6.37,PL,1709713706
282,la'ie,21.6477,-157.9253,23.98,72,2,4.47,US,1709713707
283,shenkursk,62.1091,42.896,-1.29,90,100,2.0,RU,1709713707
284,emerald,-23.5333,148.1667,30.19,44,4,6.64,AU,1709713707
285,san mariano,7.5,126.0,28.25,79,90,0.94,PH,1709713707
286,elliot lake,46.3834,-82.6331,-1.51,73,22,3.84,CA,1709713707
287,bukama,-9.2,25.85,24.24,85,99,1.0,CD,1709713707
288,jiuquan,39.7432,98.5174,3.38,27,20,7.12,CN,1709713707
289,axim,4.8699,-2.2405,28.0,82,100,2.61,GH,1709713707
290,mao,39.8885,4.2658,14.31,62,20,1.03,ES,1709713708
291,henderson,36.0397,-114.9819,15.21,38,0,4.63,US,1709713708
292,haiku-pauwela,20.9219,-156.3051,22.8,78,0,6.71,US,1709713708
293,qarqaraly,49.4058,75.4742,-4.1,66,87,3.02,KZ,1709713708
294,monte argentario,42.4345,11.1195,7.89,81,39,4.12,IT,1709713708
295,hami,42.8,93.45,4.28,18,0,1.97,CN,1709713708
296,hamilton,39.1834,-84.5333,14.98,96,100,3.09,US,1709713708
297,lerwick,60.1545,-1.1494,6.0,78,100,10.19,GB,1709713708
298,xiaoweizhai,26.1903,107.5125,14.42,55,20,3.71,CN,1709713708
299,tsiombe,-25.3,45.4833,24.73,91,100,3.34,MG,1709713708
300,vernon,50.2581,-119.2691,-5.77,70,16,3.09,CA,1709713708
301,cotonou,6.3654,2.4183,28.99,89,20,4.63,BJ,1709713709
302,kourou,5.1552,-52.6478,25.03,92,55,2.77,GF,1709713709
